Product Category,Sum of Total Amount,,,Date,Sum of Total Amount,,,Sum of Total Amount,Age,,,,,
Electronics,156905,,,2023,454470,,,Gender,18-27,28-37,38-47,48-57,58-67,Grand Total
Clothing,155580,,,Jan,35450,,,Female,54125,49270,49620,51270,28555,232840
Beauty,143515,,,Feb,44060,,,Male,53790,46600,47090,42555,33125,223160
Grand Total,456000,,,Mar,28990,,,Grand Total,107915,95870,96710,93825,61680,456000
,,,,Apr,33870,,,,,,,,,
,,,,May,53150,,,,,,,,,
,,,,Jun,36715,,,,,,,,,
,,,,Jul,35465,,,,,,,,,
,,,,Aug,36960,,,,,,,,,
,,,,Sep,23620,,,,,,,,,
,,,,Oct,46580,,,,,,,,,
,,,,Nov,34920,,,,,,,,,
,,,,Dec,44690,,,,,,,,,
,,,,2024,1530,,,,,,,,,
,,,,Jan,1530,,,,,,,,,
,,,,Grand Total,456000,,,,,,,,,
